x,y
0.6,527.0
0.2,175.0
0.2454517885159014,263.0710464780668
0.1,87.0
0.3,263.0
0.2,175.0
0.3,263.0
0.2,175.0
0.2,175.0
0.3,263.0
0.1,87.0
0.3,263.0
0.1,87.0
0.6,527.0
0.6,527.0
0.1,87.0
0.3,263.0
0.0712482082979939,87.00547718644991
0.1,87.0
0.6,527.0
0.1,87.0
0.2,175.0
0.6,527.0
0.3,263.0
0.1,87.0
0.2,175.0
0.2,175.0
0.3,263.0
0.3,263.0
0.6,527.0
0.6,527.0
0.3,263.0
0.1,87.0
0.1779747582094641,175.06092447915964
0.6,527.0
0.2,175.0
0.3,263.0
0.2,175.0
0.5606195321144996,527.0760186200725
0.22270179942446153,174.98922569434336
0.18235606527713932,263.051706004127
0.15567576127940874,86.94742641454548
0.2673583597376673,262.9864127622401
0.2952499401537279,174.941880018969
0.2736364312188922,263.1095594533357
0.14402884201349062,175.06691862995874
0.21309615902875698,175.00140554861682
0.30217347791127347,262.98774031534157
0.12287951539920813,87.06089335759653
0.3121028674800142,262.96148188818813
0.08043562871068706,87.04725073471724
0.4892082533476776,527.0252478853577
0.6241328933814532,526.9998085225344
0.15614550343526135,86.96455070161329
0.3220645267634177,262.967878029091
0.12191104313264865,86.94444280382206
0.10897750811895718,86.99218417067875
0.5630229457913408,527.0151562628223
0.07512707688588106,86.98941179286281
0.1978660287664153,174.991747328475
0.6731864260286142,526.9264037305236
0.3592795468260286,263.07942412780193
0.09961856720963701,86.96772649671043
0.20208135178992137,174.96387914675586
0.17695232734014715,174.9565836220795
0.22210121020880957,262.95687400195635
0.2993923150995423,263.0391133102277
0.5434830191174213,527.1024218313098
0.6282581146367242,526.9870683061964
0.2875407044497564,263.0976415954
0.004544411742575069,87.01082853475572
0.23955837973107724,175.03884482543626
0.6437275884427492,526.9688244407142
0.23171967661043835,175.0049136104734
0.2896840481582303,263.0534091348644
0.12636259669438066,174.93636977221107
0.2,175.0
0.6,527.0
0.3,263.0
0.1779747582094641,175.06092447915964
0.2,175.0
0.2,175.0
0.6,527.0
0.2,175.0
0.2,175.0
0.2,175.0
0.1,87.0
0.1,87.0
0.3,263.0
0.1,87.0
0.0712482082979939,87.00547718644991
0.0712482082979939,87.00547718644991
0.1,87.0
0.3,263.0
0.6,527.0
0.6,527.0
0.6,527.0
0.2,175.0
0.2,175.0
0.1,87.0
0.3,263.0
0.2,175.0
0.6,527.0
0.2,175.0
0.6,527.0
0.6,527.0
0.6,527.0
0.3,263.0
0.3,263.0
0.1,87.0
0.1,87.0
0.6,527.0
0.6,527.0
0.6,527.0
0.1,87.0
0.1779747582094641,175.06092447915964
0.2,175.0
0.2,175.0
0.2,175.0
0.1,87.0
0.6,527.0
0.3,263.0
0.3,263.0
0.2454517885159014,263.0710464780668
0.6,527.0
0.6,527.0
0.3,263.0
0.2,175.0
0.2,175.0
0.3,263.0
0.0712482082979939,87.00547718644991
0.2,175.0
0.3,263.0
0.2,175.0
0.1,87.0
0.3,263.0
0.3,263.0
0.1,87.0
0.6,527.0
0.6,527.0
0.6,527.0
0.2,175.0
0.1,87.0
0.2,175.0
0.3,263.0
0.3,263.0
0.1,87.0
0.1,87.0
0.6,527.0
0.3,263.0
0.6,527.0
0.2,175.0
0.1779747582094641,175.06092447915964
0.3,263.0
0.3,263.0
0.3,263.0
0.1,87.0
0.0712482082979939,87.00547718644991
0.1,87.0
0.3,263.0
0.6,527.0
0.3,263.0
0.3,263.0
0.3,263.0
0.1,87.0
0.6,527.0
0.3,263.0
0.6,527.0
0.1,87.0
0.1,87.0
0.3,263.0
0.1,87.0
0.2454517885159014,263.0710464780668
0.6,527.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.1,87.0
0.3,263.0
0.1,87.0
0.2,175.0
0.0712482082979939,87.00547718644991
0.1779747582094641,175.06092447915964
0.6,527.0
0.2,175.0
0.1,87.0
0.2,175.0
0.6,527.0
0.6,527.0
0.3,263.0
0.2,175.0
0.3,263.0
0.3,263.0
0.2,175.0
0.6,527.0
0.1,87.0
0.3,263.0
0.6,527.0
0.3,263.0
0.3,263.0
0.2,175.0
0.6,527.0
0.6,527.0
0.2,175.0
0.6,527.0
0.3,263.0
0.6,527.0
0.1,87.0
0.6,527.0
0.3,263.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.6,527.0
0.2,175.0
0.2454517885159014,263.0710464780668
0.0712482082979939,87.00547718644991
0.1,87.0
0.2,175.0
0.6,527.0
0.2,175.0
0.1,87.0
0.3,263.0
0.0712482082979939,87.00547718644991
0.3,263.0
0.2,175.0
0.3,263.0
0.1,87.0
0.3,263.0
0.2,175.0
0.2,175.0
0.3,263.0
0.2,175.0
0.3,263.0
0.3,263.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.6,527.0
0.1,87.0
0.3,263.0
0.6,527.0
0.1,87.0
0.1,87.0
0.2,175.0
0.3,263.0
0.6,527.0
0.1,87.0
0.1,87.0
0.2,175.0
0.1779747582094641,175.06092447915964
0.2,175.0
0.3,263.0
0.1,87.0
0.1,87.0
0.2,175.0
0.2,175.0
0.6,527.0
0.2,175.0
0.6,527.0
0.6,527.0
0.3,263.0
0.6,527.0
0.1779747582094641,175.06092447915964
0.6,527.0
0.2,175.0
0.2,175.0
0.1,87.0
0.6,527.0
0.6,527.0
0.0712482082979939,87.00547718644991
0.0712482082979939,87.00547718644991
0.3,263.0
0.2,175.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.1779747582094641,175.06092447915964
0.3,263.0
0.1,87.0
0.2,175.0
0.6,527.0
0.1,87.0
0.2,175.0
0.6,527.0
0.6,527.0
0.1,87.0
0.3,263.0
0.6,527.0
0.1,87.0
0.1,87.0
0.2,175.0
0.3,263.0
0.6,527.0
0.1,87.0
0.6,527.0
0.2,175.0
0.6,527.0
0.2,175.0
0.2,175.0
0.1,87.0
0.3,263.0
0.6,527.0
0.3,263.0
0.2,175.0
0.2454517885159014,263.0710464780668
0.2454517885159014,263.0710464780668
0.3,263.0
0.2,175.0
0.2,175.0
0.3,263.0
0.6,527.0
0.1,87.0
0.6,527.0
0.0712482082979939,87.00547718644991
0.3,263.0
0.3,263.0
0.1,87.0
0.1,87.0
0.2,175.0
0.1,87.0
0.3,263.0
0.6,527.0
0.6,527.0
0.2,175.0
0.3,263.0
0.2,175.0
0.6,527.0
0.6,527.0
0.3,263.0
0.1,87.0
0.2,175.0
0.1,87.0
0.3,263.0
0.1,87.0
0.2454517885159014,263.0710464780668
0.1,87.0
0.3,263.0
0.2,175.0
0.6,527.0
0.6,527.0
0.1,87.0
0.2,175.0
0.3,263.0
0.2454517885159014,263.0710464780668
0.6,527.0
0.6,527.0
0.2,175.0
0.1,87.0
0.1,87.0
0.3,263.0
0.6,527.0
0.2,175.0
0.1,87.0
0.2,175.0
0.1,87.0
0.1,87.0
0.2,175.0
0.3,263.0
0.1,87.0
0.2,175.0
0.1,87.0
0.3,263.0
0.1,87.0
0.3,263.0
0.0712482082979939,87.00547718644991
0.1,87.0
0.1,87.0
0.1,87.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.2,175.0
0.1,87.0
0.2,175.0
0.0712482082979939,87.00547718644991
0.2,175.0
0.0712482082979939,87.00547718644991
0.3,263.0
0.3,263.0
0.2,175.0
0.3,263.0
0.1,87.0
0.2454517885159014,263.0710464780668
0.2454517885159014,263.0710464780668
0.2454517885159014,263.0710464780668
0.1,87.0
0.1,87.0
0.2,175.0
0.2,175.0
0.3,263.0
0.2,175.0
0.6,527.0
0.3,263.0
0.3,263.0
0.3,263.0
0.6,527.0
0.2454517885159014,263.0710464780668
0.1,87.0
0.1,87.0
0.3,263.0
0.2454517885159014,263.0710464780668
0.2,175.0
0.1,87.0
0.6,527.0
0.3,263.0
0.6,527.0
0.3,263.0
0.1,87.0
0.3,263.0
